# accelerometer data
# file: 'rgbd_dataset_freiburg1_desk.bag'
# timestamp ax ay az
1305031449.564825 -0.083818 7.244229 -6.657506
1305031449.565779 -0.083818 7.244229 -6.657506
1305031449.569452 -0.275400 7.268176 -6.849089
1305031449.570435 -0.275400 7.268176 -6.849089
1305031449.571694 -0.275400 7.268176 -6.849089
1305031449.572768 -0.275400 7.268176 -6.849089
1305031449.575951 -0.275400 7.268176 -6.849089
1305031449.576935 -0.275400 7.268176 -6.849089
1305031449.580569 -0.275400 7.256203 -6.849089
1305031449.581554 -0.275400 7.256203 -6.849089
1305031449.584841 -0.191583 7.244229 -7.016724
1305031449.585809 -0.191583 7.244229 -7.016724
1305031449.589409 -0.299348 7.292124 -6.849089
1305031449.590410 -0.299348 7.292124 -6.849089
1305031449.591694 -0.299348 7.292124 -6.849089
1305031449.592721 -0.299348 7.292124 -6.849089
1305031449.595954 -0.287374 7.435812 -6.753297
1305031449.596977 -0.287374 7.435812 -6.753297
1305031449.600461 -0.478957 7.340020 -6.657506
1305031449.601568 -0.478957 7.340020 -6.657506
1305031449.604822 -0.478957 7.292124 -6.633558
1305031449.605805 -0.478957 7.292124 -6.633558
1305031449.609392 -0.275400 7.340020 -6.465923
1305031449.610437 -0.275400 7.340020 -6.465923
1305031449.611676 -0.275400 7.340020 -6.465923
1305031449.612822 -0.275400 7.340020 -6.465923
1305031449.615953 -0.275400 7.435812 -6.657506
1305031449.616947 -0.275400 7.435812 -6.657506
1305031449.620570 -0.263426 7.292124 -6.465923
1305031449.621600 -0.263426 7.292124 -6.465923
1305031449.624820 -0.275400 7.244229 -6.657506
1305031449.625804 -0.275400 7.244229 -6.657506
1305031449.629321 -0.083818 7.220281 -6.633558
1305031449.630447 -0.083818 7.220281 -6.633558
1305031449.631732 -0.083818 7.220281 -6.633558
1305031449.632699 -0.083818 7.220281 -6.633558
1305031449.635940 -0.083818 7.244229 -6.561715
1305031449.636944 -0.083818 7.244229 -6.561715
1305031449.640540 0.011974 7.232255 -6.274340
1305031449.641570 0.011974 7.232255 -6.274340
1305031449.644862 -0.275400 7.196333 -6.322236
1305031449.645805 -0.275400 7.196333 -6.322236
1305031449.649399 -0.083818 7.052646 -6.657506
1305031449.650574 -0.083818 7.052646 -6.657506
1305031449.651696 -0.083818 7.052646 -6.657506
1305031449.652838 -0.083818 7.052646 -6.657506
1305031449.655805 -0.083818 7.052646 -6.705402
1305031449.656946 -0.083818 7.052646 -6.705402
1305031449.660466 -0.239479 7.148437 -6.705402
1305031449.661593 -0.239479 7.148437 -6.705402
1305031449.664822 -0.083818 7.148437 -6.849089
1305031449.665802 -0.083818 7.148437 -6.849089
1305031449.669332 -0.263426 7.244229 -6.849089
1305031449.670446 -0.263426 7.244229 -6.849089
1305031449.671696 -0.263426 7.244229 -6.849089
1305031449.672682 -0.263426 7.244229 -6.849089
1305031449.675827 -0.275400 7.435812 -7.040672
1305031449.676802 -0.275400 7.435812 -7.040672
1305031449.680497 -0.275400 7.340020 -6.849089
1305031449.681582 -0.275400 7.340020 -6.849089
1305031449.684739 -0.083818 7.531603 -7.040672
1305031449.685661 -0.083818 7.531603 -7.040672
1305031449.686953 -0.083818 7.531603 -7.040672
1305031449.688075 -0.083818 7.531603 -7.040672
1305031449.691586 -0.371192 7.531603 -6.944880
1305031449.692700 -0.371192 7.531603 -6.944880
1305031449.695954 -0.275400 7.435812 -6.849089
1305031449.696966 -0.275400 7.435812 -6.849089
1305031449.700550 -0.275400 7.244229 -6.849089
1305031449.701535 -0.275400 7.244229 -6.849089
1305031449.704822 -0.083818 7.268176 -6.753297
1305031449.705819 -0.083818 7.268176 -6.753297
1305031449.709403 -0.083818 7.244229 -6.669480
1305031449.710573 -0.083818 7.244229 -6.669480
1305031449.711716 -0.083818 7.244229 -6.669480
1305031449.712717 -0.083818 7.244229 -6.669480
1305031449.715948 -0.191583 7.148437 -6.645532
1305031449.716987 -0.191583 7.148437 -6.645532
1305031449.720463 -0.083818 7.052646 -6.465923
1305031449.721592 -0.083818 7.052646 -6.465923
1305031449.724861 -0.191583 7.148437 -6.370132
1305031449.725815 -0.191583 7.148437 -6.370132
1305031449.729403 0.107765 6.885011 -6.465923
1305031449.730539 0.107765 6.885011 -6.465923
1305031449.731849 0.107765 6.885011 -6.465923
1305031449.732852 0.107765 6.885011 -6.465923
1305031449.735945 -0.083818 6.956854 -6.370132
1305031449.736948 -0.083818 6.956854 -6.370132
1305031449.740556 -0.083818 7.052646 -6.274340
1305031449.741581 -0.083818 7.052646 -6.274340
1305031449.744861 0.059870 6.956854 -6.274340
1305031449.745825 0.059870 6.956854 -6.274340
1305031449.749406 -0.083818 7.148437 -6.274340
1305031449.750573 -0.083818 7.148437 -6.274340
1305031449.751677 -0.083818 7.148437 -6.274340
1305031449.752859 -0.083818 7.148437 -6.274340
1305031449.755954 0.011974 7.196333 -6.226444
1305031449.756956 0.011974 7.196333 -6.226444
1305031449.760573 0.059870 7.148437 -6.465923
1305031449.761616 0.059870 7.148437 -6.465923
1305031449.764828 0.095791 7.220281 -6.370132
1305031449.765801 0.095791 7.220281 -6.370132
1305031449.769485 0.107765 7.220281 -6.633558
1305031449.770448 0.107765 7.220281 -6.633558
1305031449.771696 0.107765 7.220281 -6.633558
1305031449.772711 0.107765 7.220281 -6.633558
1305031449.775912 0.059870 7.340020 -6.609610
1305031449.776927 0.059870 7.340020 -6.609610
1305031449.780563 0.095791 7.435812 -6.465923
1305031449.781592 0.095791 7.435812 -6.465923
1305031449.784830 0.107765 7.340020 -6.705402
1305031449.785795 0.107765 7.340020 -6.705402
1305031449.789402 -0.083818 7.627394 -6.370132
1305031449.790570 -0.083818 7.627394 -6.370132
1305031449.791708 -0.083818 7.627394 -6.370132
1305031449.792865 -0.083818 7.627394 -6.370132
1305031449.795949 0.011974 7.435812 -6.657506
1305031449.796949 0.011974 7.435812 -6.657506
1305031449.800569 0.095791 7.244229 -6.681454
1305031449.801597 0.095791 7.244229 -6.681454
1305031449.804820 0.107765 7.244229 -6.753297
1305031449.805825 0.107765 7.244229 -6.753297
1305031449.809321 0.095791 7.268176 -6.669480
1305031449.810441 0.095791 7.268176 -6.669480
1305031449.811668 0.095791 7.268176 -6.669480
1305031449.812697 0.095791 7.268176 -6.669480
1305031449.815973 0.059870 7.292124 -6.370132
1305031449.816947 0.059870 7.292124 -6.370132
1305031449.820537 0.119739 7.292124 -6.465923
1305031449.821581 0.119739 7.292124 -6.465923
1305031449.824850 0.095791 7.244229 -6.465923
1305031449.825799 0.095791 7.244229 -6.465923
1305031449.829395 0.107765 7.244229 -6.465923
1305031449.830402 0.107765 7.244229 -6.465923
1305031449.831733 0.107765 7.244229 -6.465923
1305031449.832682 0.107765 7.244229 -6.465923
1305031449.835812 0.107765 7.244229 -6.274340
1305031449.836946 0.107765 7.244229 -6.274340
1305031449.840556 0.107765 7.196333 -6.082757
1305031449.841554 0.107765 7.196333 -6.082757
1305031449.844820 0.011974 7.052646 -5.986966
1305031449.845803 0.011974 7.052646 -5.986966
1305031449.849415 0.095791 7.148437 -6.178549
1305031449.850538 0.095791 7.148437 -6.178549
1305031449.851676 0.095791 7.148437 -6.178549
1305031449.852824 0.095791 7.148437 -6.178549
1305031449.855945 0.011974 7.148437 -5.903148
1305031449.856936 0.011974 7.148437 -5.903148
1305031449.860595 0.107765 7.052646 -6.082757
1305031449.861695 0.107765 7.052646 -6.082757
1305031449.864819 0.107765 6.956854 -6.226444
1305031449.865946 0.107765 6.956854 -6.226444
1305031449.869600 0.107765 7.148437 -6.274340
1305031449.870583 0.107765 7.148437 -6.274340
1305031449.871679 0.107765 7.148437 -6.274340
1305031449.872681 0.107765 7.148437 -6.274340
1305031449.875948 -0.083818 7.148437 -6.465923
1305031449.876930 -0.083818 7.148437 -6.465923
1305031449.880569 0.095791 7.052646 -6.849089
1305031449.881592 0.095791 7.052646 -6.849089
1305031449.884821 0.095791 7.148437 -6.705402
1305031449.885916 0.095791 7.148437 -6.705402
1305031449.889463 0.107765 7.244229 -6.681454
1305031449.890433 0.107765 7.244229 -6.681454
1305031449.891711 0.107765 7.244229 -6.681454
1305031449.892782 0.107765 7.244229 -6.681454
1305031449.895973 0.095791 7.244229 -6.849089
1305031449.896954 0.095791 7.244229 -6.849089
1305031449.900551 0.083818 7.435812 -6.849089
1305031449.901570 0.083818 7.435812 -6.849089
1305031449.904810 0.059870 7.435812 -6.681454
1305031449.905802 0.059870 7.435812 -6.681454
1305031449.909414 -0.191583 7.435812 -6.609610
1305031449.910470 -0.191583 7.435812 -6.609610
1305031449.911732 -0.191583 7.435812 -6.609610
1305031449.912719 -0.191583 7.435812 -6.609610
1305031449.915946 -0.275400 7.435812 -6.753297
1305031449.916967 -0.275400 7.435812 -6.753297
1305031449.920558 -0.287374 7.292124 -6.561715
1305031449.921575 -0.287374 7.292124 -6.561715
1305031449.924834 -0.275400 7.340020 -6.753297
1305031449.925804 -0.275400 7.340020 -6.753297
1305031449.929417 -0.239479 7.292124 -6.633558
1305031449.930467 -0.239479 7.292124 -6.633558
1305031449.931697 -0.239479 7.292124 -6.633558
1305031449.932707 -0.239479 7.292124 -6.633558
1305031449.935952 -0.478957 7.531603 -6.370132
1305031449.936965 -0.478957 7.531603 -6.370132
1305031449.940583 -0.371192 7.531603 -6.274340
1305031449.941589 -0.371192 7.531603 -6.274340
1305031449.944823 -0.478957 7.435812 -6.274340
1305031449.945970 -0.478957 7.435812 -6.274340
1305031449.949407 -0.275400 7.268176 -6.298288
1305031449.950550 -0.275400 7.268176 -6.298288
1305031449.951679 -0.275400 7.268176 -6.298288
1305031449.952819 -0.275400 7.268176 -6.298288
1305031449.955788 -0.275400 7.244229 -6.298288
1305031449.956947 -0.275400 7.244229 -6.298288
1305031449.960594 -0.371192 7.244229 -5.986966
1305031449.961601 -0.371192 7.244229 -5.986966
1305031449.964830 -0.478957 7.148437 -6.082757
1305031449.965833 -0.478957 7.148437 -6.082757
1305031449.969421 -0.478957 7.052646 -6.082757
1305031449.970431 -0.478957 7.052646 -6.082757
1305031449.971682 -0.478957 7.052646 -6.082757
1305031449.972679 -0.478957 7.052646 -6.082757
1305031449.975948 -0.478957 7.052646 -5.986966
1305031449.976945 -0.478957 7.052646 -5.986966
1305031449.980574 -0.275400 6.873037 -6.178549
1305031449.981613 -0.275400 6.873037 -6.178549
1305031449.984850 -0.478957 7.052646 -6.082757
1305031449.985951 -0.478957 7.052646 -6.082757
1305031449.989408 -0.478957 7.148437 -6.082757
1305031449.990433 -0.478957 7.148437 -6.082757
1305031449.991697 -0.478957 7.148437 -6.082757
1305031449.992700 -0.478957 7.148437 -6.082757
1305031449.995964 -0.371192 7.244229 -5.986966
1305031449.996948 -0.371192 7.244229 -5.986966
1305031450.000621 -0.478957 7.052646 -6.082757
1305031450.001695 -0.478957 7.052646 -6.082757
1305031450.004825 -0.574749 7.052646 -6.274340
1305031450.005792 -0.574749 7.052646 -6.274340
1305031450.009401 -0.478957 6.956854 -6.274340
1305031450.010451 -0.478957 6.956854 -6.274340
1305031450.011680 -0.478957 6.956854 -6.274340
1305031450.012831 -0.478957 6.956854 -6.274340
1305031450.015983 -0.622644 7.052646 -6.178549
1305031450.016961 -0.622644 7.052646 -6.178549
1305031450.020558 -0.658566 6.908959 -6.298288
1305031450.021732 -0.658566 6.908959 -6.298288
1305031450.024823 -0.658566 7.148437 -6.226444
1305031450.025805 -0.658566 7.148437 -6.226444
1305031450.029459 -0.658566 7.232255 -6.274340
1305031450.030466 -0.658566 7.232255 -6.274340
1305031450.031723 -0.658566 7.232255 -6.274340
1305031450.032680 -0.658566 7.232255 -6.274340
1305031450.035930 -0.646592 7.244229 -6.465923
1305031450.036945 -0.646592 7.244229 -6.465923
1305031450.040602 -0.754358 7.340020 -6.274340
1305031450.041602 -0.754358 7.340020 -6.274340
1305031450.044833 -0.754358 7.435812 -6.370132
1305031450.045827 -0.754358 7.435812 -6.370132
1305031450.049404 -0.754358 7.435812 -6.657506
1305031450.050582 -0.754358 7.435812 -6.657506
1305031450.051676 -0.754358 7.435812 -6.657506
1305031450.052687 -0.754358 7.435812 -6.657506
1305031450.055917 -0.754358 7.268176 -6.609610
1305031450.056937 -0.754358 7.268176 -6.609610
1305031450.060566 -0.706462 7.244229 -6.609610
1305031450.061577 -0.706462 7.244229 -6.609610
1305031450.064822 -0.658566 7.052646 -6.705402
1305031450.065984 -0.658566 7.052646 -6.705402
1305031450.069447 -0.670540 7.052646 -6.849089
1305031450.070434 -0.670540 7.052646 -6.849089
1305031450.071677 -0.670540 7.052646 -6.849089
1305031450.072683 -0.670540 7.052646 -6.849089
1305031450.075797 -0.670540 7.052646 -6.849089
1305031450.076804 -0.670540 7.052646 -6.849089
1305031450.080584 -0.658566 6.861063 -6.944880
1305031450.081595 -0.658566 6.861063 -6.944880
1305031450.084819 -0.658566 6.861063 -6.849089
1305031450.085804 -0.658566 6.861063 -6.849089
1305031450.089499 -0.682514 6.861063 -6.992776
1305031450.090460 -0.682514 6.861063 -6.992776
1305031450.091695 -0.682514 6.861063 -6.992776
1305031450.092683 -0.682514 6.861063 -6.992776
