#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m]
1403636578922881280,4.7822997174796811,-1.8155736277079491,0.84462707370341705
1403636578968881408,4.7822118752035667,-1.8147864986792011,0.85767100487377101
1403636579022881280,4.7807530761485442,-1.8131922179613229,0.87462386853895402
1403636579068881152,4.7791190472344942,-1.812024099627725,0.89192319457420399
1403636579118881280,4.7787637636399563,-1.811005571673068,0.91180868761164602
1403636579169881344,4.7773247170645607,-1.809848509910934,0.93186927143235299
1403636579219881216,4.7768420479786569,-1.8087809683800391,0.95189894554272103
1403636579270881280,4.778211370448088,-1.808358152496969,0.97218685722180598
1403636579366881280,4.7792536066378029,-1.8078041507805711,1.010285216929578
1403636579422881280,4.7792159102320078,-1.8077033233374411,1.030940795399661
1403636579466881280,4.7786855126576864,-1.807729375683401,1.047815351509628
1403636579520881152,4.77796040108369,-1.8081186521953969,1.064706825294105
1403636579569881088,4.7788142199657644,-1.809278562305658,1.0791384081636739
1403636579621881344,4.7792935495124489,-1.810337804611678,1.0892581049554619
1403636579717881088,4.7823435580629461,-1.812081167988892,1.095027373006829
1403636579766881280,4.7839366705711122,-1.812689014911697,1.091240672110694
1403636580267881472,4.7772338783506241,-1.820940060116659,0.895287863282205
1403636580369881344,4.7754670815536651,-1.822931931852263,0.84669796527434904
1403636580421881088,4.7742453919934054,-1.8240103725128951,0.82534881665676996
1403636580470881280,4.7779155981971568,-1.8271129412454661,0.80646566121041496
1403636580518881280,4.7782424069060934,-1.828547443029606,0.79034862328358602
1403636580568881152,4.7778675328477034,-1.829693865296635,0.77635755089380698
1403636580618881280,4.7771646163990118,-1.8304509495709049,0.76655662042360395
1403636580667881216,4.7763936052142268,-1.8309106105059481,0.76269265458139401
1403636580718881280,4.7768779038327986,-1.8314327833086399,0.76714046925547297
1403636580969881344,4.753474641973491,-1.825295813918123,0.89962221734040604
1403636581218881280,4.7593023348552803,-1.832582416741158,1.080574605008735
1403636581316881152,4.7601660229049561,-1.831460566536373,1.138220415097557
1403636581369881344,4.7612933054044966,-1.830368965028887,1.162475408446803
1403636581417881344,4.762917475608325,-1.829788671585789,1.1828599780600659
1403636581467881216,4.7659709717840508,-1.829827464039828,1.1970277988319811
